feature,importance
has_company_logo,0.07588804016886104
has_missing_logo,0.036729934901945684
tfidf_per,0.025496390143637054
has_questions,0.023170175268918004
tfidf_growing,0.017415783456227105
tfidf_duties,0.01472777812365852
function,0.013119905544346788
tfidf_web,0.011572910018005741
tfidf_position,0.011382723078250475
tfidf_benefits,0.011373249768416407
tfidf_team,0.01084372685633345
required_education,0.010500700419060422
tfidf_love,0.01041050970700016
red_flag_count,0.010117196052527078
tfidf_computer,0.009940978042502012
tfidf_needed,0.009447121801785715
industry,0.008856296386911013
has_vague_salary,0.008563260526274973
tfidf_work,0.007798169559807322
tfidf_exciting,0.007680046357648222
tfidf_data,0.007539272328708368
tfidf_recruiting,0.007465928487613593
tfidf_companies,0.006891631719236265
has_unverified_company,0.006722834666090519
tfidf_procedures,0.006684720111317788
tfidf_time,0.006662673561294931
tfidf_creative,0.00656335011156947
tfidf_package,0.006537134552383171
tfidf_program,0.006516330079686401
tfidf_industry,0.006447859402129698
tfidf_candidates,0.006428203571440827
tfidf_engineering,0.00640604966459764
tfidf_information,0.006182945923871118
tfidf_website,0.006080551519356912
tfidf_operations,0.005546678295052137
tfidf_responsibilities,0.0055088999352662735
tfidf_service,0.005323211261508821
tfidf_perform,0.005154772604123126
tfidf_passionate,0.005094074627798272
tfidf_home,0.005053597239892343
tfidf_level,0.004990494307146282
tfidf_based,0.004867658514610995
tfidf_new,0.00485806488475513
tfidf_good,0.004692829315817888
tfidf_provide,0.0045684022195015255
tfidf_company,0.004500925119206987
tfidf_following,0.004442912908775248
tfidf_social,0.004374265715066067
tfidf_skills,0.004290815568480009
required_experience,0.004156762743500478
tfidf_develop,0.004149879630854992
tfidf_world,0.003969780557392612
has_multiple_red_flags,0.003900804509495629
tfidf_technical,0.003897905750009713
tfidf_must,0.0038366382386907883
tfidf_environment,0.0036545832203457493
tfidf_system,0.0035560826399184077
tfidf_solutions,0.003473395770399712
tfidf_clients,0.003383602090971086
tfidf_required,0.003332958288391715
tfidf_services,0.0033147099577775217
tfidf_seeking,0.0033038919303629796
tfidf_career,0.003291402985737457
tfidf_build,0.003288524411604884
tfidf_employees,0.0032760674484262724
tfidf_full,0.003218061812293876
tfidf_around,0.0031898078693888584
tfidf_large,0.0031491342567027906
tfidf_systems,0.0031322709055429817
tfidf_positions,0.0030849903216754087
tfidf_want,0.003057254950686026
tfidf_talented,0.003029640997454311
tfidf_highly,0.002987540601685801
tfidf_free,0.002965356496927851
tfidf_focus,0.0029648102864749657
tfidf_software,0.0029540644250184394
tfidf_goals,0.0029523097427599948
tfidf_products,0.0029030124291086618
tfidf_sales,0.0028860299857598262
tfidf_startup,0.0028172931014425486
tfidf_without,0.002800724168813794
tfidf_office,0.002794588861681708
tfidf_high,0.002775877654097214
tfidf_experience,0.0027220132786051005
tfidf_within,0.0027101249783883876
tfidf_including,0.002676398240351279
tfidf_apply,0.002642630623519136
tfidf_customers,0.002618355221810629
tfidf_maintain,0.0025959671394626357
